station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,present_weather,past_weather,past_weather2,air_pressure_at_sea_level,eastward_wind,northward_wind
KGRB,44.48,-88.13,208.0,2000-01-01 00:00:00,250.0,8.0,-SN,,,OVC,4100.0,,,,,,,8,-5.0,-9.0,29.84,71,0,0,,7.517540966287267,2.7361611466053484
KGRB,44.48,-88.13,208.0,2000-01-01 00:05:00,260.0,8.0,-SN,,,OVC,3900.0,,,,,,,8,-5.0,-9.0,29.84,71,0,0,,7.878462024097664,1.3891854213354426
KGRB,44.48,-88.13,208.0,2000-01-01 00:10:00,260.0,9.0,-SN,,,OVC,3900.0,,,,,,,8,-5.0,-9.0,29.84,71,0,0,,8.863269777109872,1.562833599002373
KGRB,44.48,-88.13,208.0,2000-01-01 00:15:00,250.0,7.0,-SN,,,OVC,3700.0,,,,,,,8,-5.0,-9.0,29.84,71,0,0,,6.5778483455013586,2.39414100327968
KGRB,44.48,-88.13,208.0,2000-01-01 00:20:00,250.0,8.0,-SN,,,OVC,3700.0,,,,,,,8,-5.0,-9.0,29.85,71,0,0,,7.517540966287267,2.7361611466053484
KGRB,44.48,-88.13,208.0,2000-01-01 00:25:00,250.0,8.0,-SN,,,OVC,3700.0,,,,,,,8,-5.0,-9.0,29.85,71,0,0,,7.517540966287267,2.7361611466053484
KGRB,44.48,-88.13,208.0,2000-01-01 00:30:00,260.0,9.0,-SN,,,OVC,3500.0,,,,,,,8,-5.0,-9.0,29.85,71,0,0,,8.863269777109872,1.562833599002373
KGRB,44.48,-88.13,208.0,2000-01-01 00:35:00,260.0,8.0,-SN,,,OVC,3500.0,,,,,,,8,-5.0,-9.0,29.85,71,0,0,,7.878462024097664,1.3891854213354426
KGRB,44.48,-88.13,208.0,2000-01-01 00:40:00,260.0,8.0,-SN,,,OVC,3500.0,,,,,,,8,-5.0,-8.0,29.85,71,0,0,,7.878462024097664,1.3891854213354426
KGRB,44.48,-88.13,208.0,2000-01-01 00:45:00,260.0,9.0,-SN,,,BKN,3500.0,OVC,7000.0,,,,,8,-5.0,-9.0,29.85,71,0,0,,8.863269777109872,1.562833599002373
